Unnamed: 0,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,adm4_pcode,brgy_total_area
0,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Lomboy,PH015518016,1.0216
1,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Tapuac,PH015518031,1.044
2,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Pantal,PH015518022,3.2625
3,Region I,PH010000000,Pangasinan,PH015500000,Dagupan City,PH015518000,Barangay I (T. Bugallon),PH015518024,0.1814
4,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Imelda Valley,PH034919017,6.3369
5,Region III,PH030000000,Nueva Ecija,PH034900000,Palayan City,PH034919000,Malate (Pob.),PH034919010,2.7096
6,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 45 - Dita (Bgy. 51),PH050506053,0.8428
7,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 62 - Homapon (Bgy. 55),PH050506056,7.0818
8,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 10 - Cabugao,PH050506072,0.0335
9,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 23 - Imperial Court Subd. (Pob.),PH050506020,0.0621
10,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 40 - Cruzada (Bgy. 52),PH050506051,1.4442
11,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 25 - Lapu-lapu (Pob.),PH050506022,0.0607
12,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 8 - Bagumbayan (Pob.),PH050506042,0.3669
13,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 16 - Kawit-East Washington Drive (Pob.),PH050506012,0.487
14,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 48 - Bagong Abre (Bgy. 42),PH050506003,1.267
